216,Zaozhuang,CHN,Shandong,3650000,34.8667,117.55
217,Berlin,DEU,Berlin,3644826,52.5167,13.3833
218,Anshan,CHN,Liaoning,3645884,41.1066,122.9895
219,Deyang,CHN,Sichuan,3636000,31.1289,104.395
220,Lanzhou,CHN,Gansu,3616163,36.0617,103.8318
221,Chengde,CHN,Hebei,3610000,40.9739,117.9322
222,San Francisco,USA,California,3592294,37.7562,-122.443
223,Puyang,CHN,Henan,3580000,35.7639,115.03
224,Suining,CHN,Sichuan,3556000,30.5098,105.5737
225,Jiaozuo,CHN,Henan,3540101,35.229,113.2304
226,Bengbu,CHN,Anhui,3525000,32.9354,117.3531
227,Montreal,CAN,Quebec,3519595,45.5089,-73.5617
228,Detroit,USA,Michigan,3506126,42.3834,-83.1024
229,Baicheng,CHN,Guangxi,3466758,23.901,106.6194
230,Busan,KOR,Busan,3440484,35.1,129.0403
231,Algiers,DZA,Alger,3415811,36.7764,3.0586
232,Qincheng,CHN,Gansu,3400000,34.5809,105.7311
233,Taiyuan,CHN,Shanxi,3398000,37.8733,112.5425
234,Lucknow,IND,Uttar Pradesh,3382000,26.847,80.947
235,Chaoyang,CHN,Liaoning,3370000,41.5757,120.4486
236,Hechi,CHN,Guangxi,3369251,24.6928,108.085
237,Leshan,CHN,Sichuan,3364000,29.5854,103.7575
238,Yulinshi,CHN,Shaanxi,3328000,38.2655,109.7388
239,Siping,CHN,Jilin,3300000,43.1715,124.3644
240,Madrid,ESP,Madrid,3266126,40.4189,-3.6919
241,Jinan,CHN,Shandong,3250000,36.6667,116.9833
242,Shiyan,CHN,Hubei,3228000,32.6351,110.7755
243,Changzhi,CHN,Shanxi,3230000,36.1953,113.097
244,San Diego,USA,California,3220118,32.8312,-117.1225
245,Faisalabad,PAK,Punjab,3203846,31.418,73.079
246,Santa Cruz,BOL,Santa Cruz,3151676,-17.7892,-63.1975
247,Bazhou,CHN,Sichuan,3134000,31.8576,106.7559
248,Zhongshan,CHN,Guangdong,3121275,22.5333,113.35
249,Zhenjiang,CHN,Jiangsu,3113384,32.2109,119.4551
250,Urumqi,CHN,Xinjiang,3112559,43.825,87.6
251,Tongliao,CHN,Inner Mongolia,3094600,43.6172,122.264
252,Heyuan,CHN,Guangdong,3093900,23.7503,114.6923
253,Tongren,CHN,Guizhou,3093204,27.7233,109.1885
254,Qinzhou,CHN,Guangxi,3079721,21.95,108.6167
255,Jaipur,IND,Rajasthan,3073350,26.9167,75.8667
256,Xinzhou,CHN,Shanxi,3067501,38.4178,112.7233
257,Addis Ababa,ETH,Adis Abeba,3041002,9.0272,38.7369
258,Giza,EGY,Al Jizah,3021542,29.987,31.2118
259,Meishan,CHN,Sichuan,3020000,30.0575,103.8381
260,Brasilia,BRA,Distrito Federal,3015268,-15.7744,-48.0773
261,Mashhad,IRN,Khorasan-e Razavi,3001184,36.3069,59.6042
262,Jinzhou,CHN,Liaoning,3000000,41.1144,121.1292
263,Tieling,CHN,Liaoning,3000000,42.2841,123.8365
264,Shaoguan,CHN,Guangdong,2997600,24.8011,113.5927
265,Shanwei,CHN,Guangdong,2990000,22.7664,115.3331
266,Minneapolis,USA,Minnesota,2977172,44.9635,-93.2678
267,Kyiv,UKR,"Kyyiv, Misto",2967000,50.45,30.5236
268,Sanaa,YEM,Amanat al `Asimah,2957000,15.35,44.2
269,Quezon City,PHL,Quezon,2936116,14.6333,121.0333
270,Dingxi,CHN,Gansu,2930000,35.5806,104.6263
271,Salvador,BRA,Bahia,2921087,-12.9708,-38.5108
272,Incheon,KOR,Incheon,2913024,37.4639,126.6486
273,Bursa,TUR,Bursa,2901396,40.1833,29.0667
274,Ningde,CHN,Fujian,2910000,26.6667,119.5167
275,Tampa,USA,Florida,2908063,27.9942,-82.4451
276,Daqing,CHN,Heilongjiang,2904532,46.5979,125.008
277,Birmingham,GBR,Birmingham,2897303,52.48,-1.9025
278,Putian,CHN,Fujian,2900000,25.4394,119.0103
279,Huzhou,CHN,Zhejiang,2893542,30.8695,120.0958
280,Wuzhou,CHN,Guangxi,2882200,23.4833,111.3167
281,Denver,USA,Colorado,2876625,39.7621,-104.8759
282,Rome,ITA,Lazio,2872800,41.8931,12.4828
283,La Paz,BOL,La Paz,2867504,-16.4942,-68.1475
284,Pyongyang,PRK,P'yongyang,2863000,39.03,125.73
285,Kano,NGA,Kano,2828861,12,8.5167
286,Taichung,TWN,Taichung,2803894,24.15,120.6667
287,Omdurman,SDN,Khartoum,2805396,15.6835,32.4629
288,Zigong,CHN,Sichuan,2800000,29.3498,104.7645
289,Qinhuangdao,CHN,Hebei,2800000,39.9398,119.5881
290,Mudanjiang,CHN,Heilongjiang,2790000,44.5861,129.5997
291,Huludao,CHN,Liaoning,2787000,40.7094,120.8378
292,Kaohsiung,TWN,Kaohsiung,2773533,22.6167,120.3
293,Xiangtan,CHN,Hunan,2748552,27.8431,112.9228
294,Guayaquil,ECU,Guayas,2723665,-2.1833,-79.8833
295,Rizhao,CHN,Shandong,2720000,35.4164,119.4331
296,Manchester,GBR,Manchester,2705000,53.4794,-2.2453
297,Cawnpore,IND,Uttar Pradesh,2701324,26.4725,80.3311
298,Baotou,CHN,Inner Mongolia,2700000,40.6562,109.8345
299,Taipei,TWN,Taipei,2684567,25.0478,121.5319
300,Nanping,CHN,Fujian,2690000,26.6448,118.1728
301,Longyan,CHN,Fujian,2640000,25.0881,117.0244
302,Ibadan,NGA,Oyo,2628000,7.3964,3.9167
303,Hohhot,CHN,Inner Mongolia,2635000,40.8151,111.6629
304,Chaozhou,CHN,Guangdong,2620000,23.67,116.63
305,Antananarivo,MDG,Antananarivo,2610000,-18.9386,47.5214
306,Longba,CHN,Gansu,2614000,33.535,105.349
307,Weihai,CHN,Shandong,2596753,37.5,122.1
308,Chattogram,BGD,Chittagong,2581643,22.335,91.8325
309,Santo Domingo,DOM,Ozama,2581827,18.4764,-69.8933
310,Xuanzhou,CHN,Anhui,2580000,30.9475,118.7518
311,Sanming,CHN,Fujian,2580000,26.2658,117.6302
312,Brooklyn,USA,New York,2559903,40.6501,-73.9496
313,Medellin,COL,Antioquia,2529403,6.2447,-75.5748
314,Brisbane,AUS,Queensland,2514184,-27.4678,153.0281
315,Baoshan,CHN,Yunnan,2506491,25.1211,99.169
316,Dubai,ARE,Dubayy,2502715,25.2697,55.3094
317,Luohe,CHN,Henan,2500000,33.583,114.0109
318,Qinbaling,CHN,Gansu,2500000,35.7278,107.64
319,Mirzapur,IND,Uttar Pradesh,2496970,25.15,82.58
320,Guangyuan,CHN,Sichuan,2484122,32.4353,105.8398
321,Cali,COL,Valle del Cauca,2471474,3.44,-76.5197
322,Daegu,KOR,Daegu,2461002,35.8667,128.6
